Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/12/22, 19:08:30, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:35, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:40, -51.715664, -61.319542, -0.21,  1692.00, 358, 0, 40.15, 
2017/12/22, 19:08:45, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.44, 
2017/12/22, 19:08:50, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:55, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:00, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:05, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:10, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:15, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:20, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:25, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:30, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:35, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:40, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:45, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:50, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:09:55, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:00, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:05, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:10, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:15, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:20, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:25, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:30, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:35, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:40, -51.715660, -61.319542, -0.32,  0.00, 358, 0, 0.00, 
2017/12/22, 19:10:45, -51.715302, -61.319439, -0.57,  720.00, 63, 0, 40.44, 
2017/12/22, 19:10:50, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.93, 
2017/12/22, 19:10:55, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:00, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:05, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:10, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:15, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:20, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:25, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:30, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:35, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:40, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:45, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:50, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:11:55, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:12:00, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:12:05, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:12:10, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:12:15, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
2017/12/22, 19:12:20, -51.715294, -61.319443, -0.94,  0.00, 63, 0, 0.00, 
